Distance_(pixels),Gray_Value
0,255.000
1,255.000
2,255.000
3,75.726
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,202.134
10,255.000
11,255.000
12,255.000
13,255.000
14,255.000
15,255.000
16,255.000
17,255.000
18,255.000
19,139.939
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,35.112
36,206.350
37,255.000
38,255.000
39,179.579
40,31.098
41,0.000
42,0.000
43,41.089
44,178.293
45,250.171
46,255.000
47,186.122
48,145.561
49,182.398
50,255.000
51,255.000
52,255.000
53,255.000
54,255.000
55,255.000
56,255.000
57,255.000
58,255.000
59,244.614
60,185.244
61,36.829
62,0.000
63,72.902
64,255.000
65,252.896
66,243.195
67,212.567
68,105.732
69,32.909
70,0.000
71,163.144
72,255.000
73,255.000
74,255.000
75,255.000
76,253.390
77,63.604
78,0.000
79,0.000
80,68.415
81,218.778
82,255.000
83,255.000
84,255.000
85,255.000
86,255.000
87,127.104
88,0.000
89,0.000
90,0.000
91,202.134
92,255.000
93,255.000
94,192.041
95,72.943
96,50.122
97,252.163
98,255.000
99,255.000
100,255.000
101,214.917
102,225.089
103,209.297
104,241.163
105,124.075
106,27.000
107,0.000
108,0.000
109,79.768
110,224.000
111,255.000
112,255.000
113,148.415
114,8.098
115,0.000
116,0.000
117,77.744
118,255.000
119,255.000
120,255.000
121,255.000
122,255.000
123,250.333
124,255.000
125,255.000
126,255.000
127,255.000
128,255.000
129,255.000
130,255.000
131,255.000
132,234.805
133,151.604
134,0.000
135,0.000
136,0.000
137,40.116
138,190.463
139,255.000
140,255.000
141,255.000
142,255.000
143,146.193
144,50.309
145,0.000
146,0.000
147,0.000
148,0.000
149,0.992
150,0.000
151,0.000
152,0.000
153,76.890
154,156.878
155,255.000
156,255.000
157,255.000
158,255.000
159,255.000
160,255.000
161,231.524
162,209.390
163,139.764
164,85.000
165,155.569
166,255.000
167,255.000
168,255.000
169,247.207
170,221.829
171,162.226
172,97.439
173,28.191
174,9.106
175,68.988
176,134.098
177,92.244
178,0.000
179,0.000
180,145.122
181,231.159
182,255.000
183,255.000
184,255.000
185,255.000
186,255.000
187,167.957
188,49.057
189,117.776
190,213.537
191,255.000
192,227.276
193,100.746
194,2.073
195,0.000
196,0.000
197,0.000
198,0.000
199,0.000
200,1.707
201,12.451
202,191.919
203,247.470
204,255.000
205,255.000
206,192.805
207,65.305
208,0.000
209,0.000
210,0.000
211,16.799
212,95.366
213,206.280
214,255.000
215,255.000
216,250.854
217,103.659
218,20.732
219,0.000
220,71.870
221,66.593
222,0.000
223,2.504
224,55.805
225,200.002
226,138.902
227,38.354
228,50.309
229,176.333
230,255.000
231,253.998
232,178.317
233,32.354
234,0.000
235,0.000
236,6.146
237,127.378
238,255.000
239,255.000
240,255.000
241,255.000
242,255.000
243,255.000
244,234.878
245,216.293
246,255.000
